stasiun,pm10,pm25,so2,co,o3,no2,max,critical,categori
0,60.0,44.0,4.0,73.0,27.0,14.0,73.0,co,sedang
0,32.0,44.0,2.0,16.0,33.0,9.0,44.0,pm25,baik
0,27.0,44.0,2.0,19.0,20.0,9.0,44.0,pm25,baik
0,22.0,44.0,2.0,16.0,15.0,6.0,44.0,pm25,baik
0,25.0,44.0,2.0,17.0,15.0,8.0,44.0,pm25,baik
0,30.0,44.0,3.0,22.0,19.0,11.0,44.0,pm25,baik
0,41.0,44.0,4.0,24.0,27.0,13.0,44.0,pm25,baik
0,64.0,44.0,8.0,51.0,19.0,15.0,64.0,pm10,sedang
0,55.0,44.0,5.0,39.0,23.0,16.0,55.0,pm10,sedang
0,34.0,44.0,5.0,23.0,26.0,12.0,44.0,pm25,baik
0,55.0,44.0,10.0,32.0,23.0,16.0,55.0,pm10,sedang
0,45.0,44.0,4.0,33.0,9.0,17.0,45.0,pm10,baik
0,28.0,44.0,5.0,29.0,10.0,12.0,44.0,pm25,baik
0,38.0,44.0,6.0,28.0,15.0,10.0,44.0,pm25,baik
0,35.0,44.0,5.0,33.0,17.0,17.0,44.0,pm25,baik
0,54.0,44.0,5.0,38.0,17.0,18.0,54.0,pm10,sedang
0,44.0,44.0,4.0,28.0,22.0,14.0,44.0,pm10,baik
0,38.0,44.0,4.0,29.0,24.0,15.0,44.0,pm25,baik
0,40.0,44.0,3.0,43.0,23.0,23.0,44.0,pm25,baik
0,61.0,44.0,5.0,63.0,16.0,17.0,63.0,co,sedang
0,36.0,44.0,4.0,27.0,23.0,13.0,44.0,pm25,baik
0,51.0,44.0,4.0,45.0,14.0,13.0,51.0,pm10,sedang
0,35.0,44.0,3.0,30.0,20.0,14.0,44.0,pm25,baik
0,56.0,44.0,6.0,46.0,30.0,14.0,56.0,pm10,sedang
0,59.0,44.0,4.0,38.0,18.0,15.0,59.0,pm10,sedang
0,43.0,44.0,5.0,42.0,19.0,24.0,44.0,pm25,baik
0,54.0,44.0,8.0,38.0,40.0,16.0,54.0,pm10,sedang
0,72.0,44.0,8.0,55.0,20.0,17.0,72.0,pm10,sedang
0,51.0,44.0,8.0,24.0,19.0,11.0,51.0,pm10,sedang
0,47.0,44.0,8.0,32.0,19.0,12.0,47.0,pm10,baik
0,32.0,44.0,5.0,25.0,26.0,10.0,44.0,pm25,baik
0,41.0,44.0,7.0,30.0,17.0,13.0,44.0,pm25,baik
0,50.0,44.0,4.0,30.0,23.0,12.0,50.0,pm10,baik
0,49.0,44.0,7.0,33.0,57.0,23.0,57.0,o3,sedang
0,59.0,44.0,9.0,38.0,75.0,26.0,75.0,o3,sedang
0,63.0,44.0,7.0,39.0,41.0,23.0,63.0,pm10,sedang
0,65.0,44.0,8.0,59.0,24.0,15.0,65.0,pm10,sedang
0,60.0,44.0,10.0,45.0,47.0,17.0,60.0,pm10,sedang
0,46.0,44.0,5.0,31.0,42.0,17.0,46.0,pm10,baik
0,52.0,44.0,7.0,30.0,34.0,16.0,52.0,pm10,sedang
0,50.0,44.0,8.0,31.0,39.0,14.0,50.0,pm10,baik
0,47.0,44.0,5.0,27.0,26.0,14.0,47.0,pm10,baik
0,56.0,44.0,6.0,33.0,45.0,20.0,56.0,pm10,sedang
0,55.0,44.0,6.0,39.0,14.0,14.0,55.0,pm10,sedang
